credit_card,city,state,zipcode,credit_card_limit,total_transactions,total_amount,avg_amount,std_amount,max_amount,active_days,weekend_ratio,mean_hour,mean_long,mean_lat,avg_daily_transactions,cluster,pca_1,pca_2
1280981422329509,Dallas,PA,18612,6000,316,16767.89,53.062943037974684,120.80199750218281,878.25,87,0.31645569620253167,16.550632911392405,-74.95564281932539,41.39708518873471,3.632183908045977,0,-0.3732648736440964,-0.4792340292533443
9737219864179988,Houston,PA,15342,16000,429,44370.56,103.42787878787878,132.75543571399038,984.96,88,0.24708624708624707,17.104895104895103,-77.00298548242793,39.80681020281751,4.875,1,1.727643706231305,0.09738845541907755
4749889059323202,Auburn,MA,1501,14000,250,25128.09,100.51236,107.98089139498822,905.15,83,0.3,16.412,-69.27256394692434,41.97699760357324,3.0120481927710845,0,-0.015409046531354317,0.42012831006540985
9591503562024072,Orlando,WV,26412,18000,412,43217.2,104.89611650485436,139.4715845741223,980.3,89,0.2766990291262136,17.40776699029126,-79.09284725378441,38.60464952426549,4.629213483146067,1,1.7375909249552188,0.23624394096137974
2095640259001271,New York,NY,10001,20000,580,48546.94,83.70162068965517,97.85310023900301,974.83,90,0.2620689655172414,16.144827586206898,-71.3793348924444,40.65182563587111,6.444444444444445,1,2.5507499761550805,-1.0336664488083125
1997929794676601,Atlanta,NY,14808,21000,373,53968.86,144.6886327077748,135.11307728230958,991.87,88,0.2868632707774799,16.769436997319033,-75.02467708202764,42.18768691804284,4.238636363636363,1,2.0343125884586466,1.2248716053339759
5449610971108305,Pittsburgh,PA,15201,6000,4,415.66,103.915,38.24203402888851,152.86,3,0.25,14.0,-79.96425696016928,40.45615520334913,1.3333333333333333,2,-4.604481537570345,-0.47182204432783836
7482288151831611,Birmingham,NJ,8011,4000,137,6176.3,45.082481751824815,143.6407961864934,935.43,69,0.24817518248175183,16.715328467153284,-73.85217833665959,39.58837090225828,1.9855072463768115,0,-1.6234482129818502,0.28985476773531244
8137811493121777,Washington,NH,3280,15000,494,41360.21,83.72512145748988,139.30677485452966,994.32,90,0.31781376518218624,17.10323886639676,-70.34126329980177,42.78916157609546,5.488888888888889,1,1.85689208702485,-0.0146930077605474
7804216189681274,Los Angeles,CA,90001,20000,535,47967.08,89.65809345794393,113.39622262545421,981.92,92,0.25794392523364484,16.439252336448597,-115.32733928191072,33.8031758630538,5.815217391304348,1,2.4880916994345066,-1.2605328175389332
8060656990279276,Phoenix,NY,13135,5000,117,12959.83,110.76777777777778,122.15422089698819,995.14,65,0.23076923076923078,17.162393162393162,-76.3123482562133,43.232978707036715,1.8,0,-1.424525780847357,1.1462975705513936
4973517790485920,Houston,PA,15342,4000,332,14343.39,43.202981927710844,116.47822493682983,996.94,89,0.26506024096385544,16.496987951807228,-78.94379540394014,40.298941998678245,3.730337078651685,0,-0.2790576192532537,-0.7774765687277908
7869254138083290,Washington,NH,3280,10000,25,1288.09,51.523599999999995,25.184650728833493,104.51,20,0.16,17.52,-68.9010353511993,41.25510242562814,1.25,2,-4.432040299482711,-2.1936883737513426
